id,item,type,cond,region1_rrt,region2_rrt,region3_rrt,region4_rrt
47,1,Object-Topicalized,tor,430.0,574.0,314.0,1072.0
47,5,Object-Subject-Inversion,orsi,350.0,894.0,364.0,409.0
47,2,Object-Subject-Inversion,orsi,724.0,506.0,280.0,534.0
47,9,Subject,sr,466.0,723.0,321.0,606.0
47,18,Subject,sr,920.0,728.0,290.0,740.0
47,13,Object-Topicalized,tor,279.0,1194.0,305.0,309.0
47,6,Subject,sr,314.0,718.0,480.0,1021.0
47,15,Subject,sr,312.0,1350.0,309.0,320.0
47,14,Object-Subject-Inversion,orsi,531.0,723.0,290.0,279.0
47,11,Object-Subject-Inversion,orsi,379.0,699.0,405.0,478.0
47,20,Object-Subject-Inversion,orsi,295.0,629.0,347.0,577.0
47,8,Object-Subject-Inversion,orsi,254.0,507.0,242.0,314.0
47,12,Subject,sr,910.0,564.0,340.0,284.0
48,20,Object-Subject-Inversion,orsi,251.0,665.0,278.0,1202.0
48,5,Object-Subject-Inversion,orsi,321.0,925.0,309.0,845.0
48,19,Object-Topicalized,tor,320.0,618.0,314.0,315.0
48,15,Subject,sr,290.0,644.0,355.0,375.0
48,3,Subject,sr,295.0,629.0,479.0,1705.0
48,8,Object-Subject-Inversion,orsi,308.0,568.0,349.0,737.0
48,10,Object-Topicalized,tor,349.0,504.0,316.0,331.0
48,4,Object-Topicalized,tor,315.0,789.0,345.0,754.0
48,2,Object-Subject-Inversion,orsi,405.0,594.0,305.0,580.0
48,18,Subject,sr,682.0,793.0,292.0,437.0
48,11,Object-Subject-Inversion,orsi,326.0,618.0,418.0,926.0
48,13,Object-Topicalized,tor,318.0,629.0,285.0,320.0
48,17,Object-Subject-Inversion,orsi,361.0,684.0,769.0,345.0
48,6,Subject,sr,305.0,588.0,254.0,245.0
48,9,Subject,sr,279.0,558.0,311.0,685.0
48,14,Object-Subject-Inversion,orsi,333.0,635.0,296.0,316.0
48,16,Object-Topicalized,tor,778.0,1112.0,1365.0,395.0
48,7,Object-Topicalized,tor,384.0,968.0,361.0,816.0
48,12,Subject,sr,1085.0,753.0,371.0,341.0
48,1,Object-Topicalized,tor,283.0,753.0,345.0,370.0
49,10,Object-Topicalized,tor,390.0,838.0,425.0,461.0
49,20,Object-Subject-Inversion,orsi,343.0,898.0,417.0,418.0
49,9,Subject,sr,416.0,819.0,444.0,783.0
49,5,Object-Subject-Inversion,orsi,354.0,724.0,437.0,386.0
49,12,Subject,sr,379.0,797.0,407.0,403.0
49,19,Object-Topicalized,tor,380.0,916.0,392.0,865.0
49,8,Object-Subject-Inversion,orsi,382.0,771.0,471.0,350.0
49,16,Object-Topicalized,tor,401.0,1103.0,520.0,515.0
49,17,Object-Subject-Inversion,orsi,389.0,924.0,534.0,423.0
49,14,Object-Subject-Inversion,orsi,377.0,729.0,418.0,404.0
49,7,Object-Topicalized,tor,325.0,782.0,1377.0,649.0
49,13,Object-Topicalized,tor,322.0,862.0,446.0,849.0
49,11,Object-Subject-Inversion,orsi,341.0,719.0,375.0,485.0
49,2,Object-Subject-Inversion,orsi,383.0,792.0,417.0,428.0
49,15,Subject,sr,276.0,690.0,335.0,448.0
49,18,Subject,sr,321.0,682.0,320.0,915.0
49,1,Object-Topicalized,tor,375.0,843.0,348.0,601.0
49,6,Subject,sr,285.0,699.0,321.0,615.0
49,4,Object-Topicalized,tor,365.0,896.0,414.0,417.0
49,3,Subject,sr,352.0,830.0,353.0,492.0
50,19,Object-Topicalized,tor,355.0,804.0,425.0,517.0
50,10,Object-Topicalized,tor,390.0,926.0,457.0,481.0
50,14,Object-Subject-Inversion,orsi,353.0,777.0,459.0,424.0
50,9,Subject,sr,355.0,918.0,430.0,573.0
50,18,Subject,sr,397.0,849.0,424.0,399.0
50,3,Subject,sr,359.0,863.0,530.0,530.0
50,7,Object-Topicalized,tor,367.0,1254.0,456.0,469.0
50,17,Object-Subject-Inversion,orsi,324.0,828.0,413.0,397.0
50,15,Subject,sr,353.0,1070.0,350.0,353.0
